IMG,EQUATION
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msub>  <mi> V </mi>  <mrow>  <mi> n </mi>  <mi> s </mi>  </mrow>  </msub>  <mo> ( </mo>  <mrow>  <mrow>  <mover>  <mi> x </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mo> ) </mo>  <mo> = </mo>  <mrow>  <mo> ( </mo>  <mfrac>  <mrow>  <mrow>  <mrow>  <mover>  <mi> m </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <msup>  <mi> N </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  </mrow>  <mrow>  <mn> 1 </mn>  <mn> 6 </mn>  <mi> &#x03C0 </mi>  </mrow>  </mfrac>  <mo> ) </mo>  </mrow>  <mi> N </mi>  <msup>  <mi> g </mi>  <mrow>  <mn> 2 </mn>  <mi> n </mi>  <mi> s </mi>  <mo> &#x2212 </mo>  <mn> 1 </mn>  </mrow>  </msup>  <msup>  <mrow>  <mrow>  <mover>  <mi> x </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mrow>  <mo> { </mo>  <msup>  <mrow>  <mrow>  <mover>  <mi> x </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mo> &#x2212 </mo>  <mfrac>  <mrow>  <mn> 2 </mn>  <mrow>  <mrow>  <mover>  <mi> b </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  </mrow>  <mn> 3 </mn>  </mfrac>  <mrow>  <mrow>  <mover>  <mi> x </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mo> + </mo>  <mfrac>  <msup>  <mrow>  <mrow>  <mover>  <mi> b </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mn> 3 </mn>  </mfrac>  <mo> &#x2212 </mo>  <mo> ( </mo>  <mo> &#x2212 </mo>  <mn> 1 </mn>  <msup>  <mo> ) </mo>  <mrow>  <mi> n </mi>  <mi> s </mi>  </mrow>  </msup>  <mrow>  <mrow>  <mover>  <mi> c </mi>  <mo> &#x007E </mo>  </mover>  </mrow>  </mrow>  <mo> } </mo>  </mrow>  <mo> . </mo>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <msub>  <mi> &#x03A6 </mi>  <mrow>  <mn> 0 </mn>  </mrow>  </msub>  <mo> ( </mo>  <mi> Z </mi>  <mo> ) </mo>  <mo> = </mo>  <msup>  <mi> &#x03B4 </mi>  <mrow>  <mo> &#x2212 </mo>  <mn> 1 </mn>  </mrow>  </msup>  <mi> &#x03B1 </mi>  <mo> , </mo>  <msub>  <mi> &#x03A6 </mi>  <mrow>  <mn> 0 </mn>  </mrow>  </msub>  <mo> ( </mo>  <mi> Z </mi>  <mo> ) </mo>  <mo> = </mo>  <msup>  <mi> &#x03B1 </mi>  <mrow>  <mo> &#x2212 </mo>  <mn> 1 </mn>  </mrow>  </msup>  <mi> &#x03B4 </mi>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <mi> E </mi>  <mo> = </mo>  <msub>  <mi> E </mi>  <mrow>  <mn> 0 </mn>  </mrow>  </msub>  <mo> + </mo>  <mfrac>  <mn> 1 </mn>  <mrow>  <mn> 2 </mn>  <mi> s i n h </mi>  <mo> &#x2061 </mo>  <mo> ( </mo>  <mi> &#x03B3 </mi>  <mo> ( </mo>  <mn> 0 </mn>  <mo> ) </mo>  <mrow>  <mo> / </mo>  </mrow>  <mn> 2 </mn>  <mo> ) </mo>  </mrow>  </mfrac>  <mi> s i n h </mi>  <mo> &#x2061 </mo>  <mrow>  <mo> ( </mo>  <mi> &#x03B3 </mi>  <mo> ( </mo>  <mn> 0 </mn>  <mo> ) </mo>  <mrow>  <mo> ( </mo>  <mfrac>  <mn> 1 </mn>  <mn> 2 </mn>  </mfrac>  <mo> + </mo>  <mi> c </mi>  <mo> ( </mo>  <mn> 0 </mn>  <mo> ) </mo>  <mo> ) </mo>  </mrow>  <mo> ) </mo>  </mrow>  <mi> h </mi>  <mi> c </mi>  <msub>  <mi> &#x03BD </mi>  <mrow>  <mrow>  <mi> v </mi>  <mi> i </mi>  <mi> b </mi>  </mrow>  </mrow>  </msub>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mo> [ </mo>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03BD </mi>  </mrow>  </msub>  <mo> , </mo>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03C1 </mi>  <mi> &#x03C4 </mi>  </mrow>  </msub>  <mo> ] </mo>  <mo> = </mo>  <msub>  <mi> g </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03C4 </mi>  </mrow>  </msub>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03BD </mi>  <mi> &#x03C1 </mi>  </mrow>  </msub>  <mo> &#x2212 </mo>  <msub>  <mi> g </mi>  <mrow>  <mi> &#x03BD </mi>  <mi> &#x03C4 </mi>  </mrow>  </msub>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03C1 </mi>  </mrow>  </msub>  <mo> + </mo>  <msub>  <mi> g </mi>  <mrow>  <mi> &#x03BD </mi>  <mi> &#x03C1 </mi>  </mrow>  </msub>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03C4 </mi>  </mrow>  </msub>  <mo> &#x2212 </mo>  <msub>  <mi> g </mi>  <mrow>  <mi> &#x03BC </mi>  <mi> &#x03C1 </mi>  </mrow>  </msub>  <msub>  <mi> M </mi>  <mrow>  <mi> &#x03BD </mi>  <mi> &#x03C4 </mi>  </mrow>  </msub>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <msubsup>  <mi> P </mi>  <mrow>  <mi> n </mi>  </mrow>  <mrow>  <mi> p </mi>  </mrow>  </msubsup>  <mo> = </mo>  <mfrac>  <mrow>  <mo> ( </mo>  <mo> &#x2212 </mo>  <mn> 1 </mn>  <msup>  <mo> ) </mo>  <mrow>  <mi> p </mi>  <mo> + </mo>  <mi> n </mi>  </mrow>  </msup>  </mrow>  <mrow>  <mi> n </mi>  <mo> ! </mo>  <mo> ( </mo>  <mi> p </mi>  <mo> &#x2212 </mo>  <mi> n </mi>  <mo> ) </mo>  <mo> ! </mo>  </mrow>  </mfrac>  <munderover>  <mrow>  <msup>  <mrow>  <mo> &#x220F </mo>  </mrow>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  </mrow>  <mrow>  <mi> k </mi>  <mo> = </mo>  <mn> 0 </mn>  </mrow>  <mrow>  <mi> p </mi>  </mrow>  </munderover>  <mo> &#x2061 </mo>  <mo> ( </mo>  <mi> N </mi>  <mo> &#x2212 </mo>  <mi> k </mi>  <mo> ) </mo>  <mo> , </mo>  <mi> n </mi>  <mo> = </mo>  <mn> 0 </mn>  <mo> , </mo>  <mo> . </mo>  <mo> . </mo>  <mo> . </mo>  <mo> , </mo>  <mi> p </mi>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <msup>  <mi> y </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  <mo> = </mo>  <mi> &#x03C1 </mi>  <mi> c o s h </mi>  <mo> &#x2061 </mo>  <mi> &#x03B2 </mi>  <mi> s i n </mi>  <mo> &#x2061 </mo>  <mi> &#x03B8 </mi>  <mi> s i n </mi>  <mo> &#x2061 </mo>  <mi> &#x03D5 </mi>  <msup>  <mi> y </mi>  <mrow>  <mn> 3 </mn>  </mrow>  </msup>  <mo> = </mo>  <mi> &#x03C1 </mi>  <mi> c o s </mi>  <mo> &#x2061 </mo>  <mi> &#x03B8 </mi>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])",<sos> <math>  <mi> &#x03A8 </mi>  <mo> &#x223C </mo>  <mi> e x p </mi>  <mo> &#x2061 </mo>  <mrow>  <mo> { </mo>  <mo> &#x2212 </mo>  <mfrac>  <mn> 1 </mn>  <mi> &#x210F </mi>  </mfrac>  <msubsup>  <mo> &#x222B </mo>  <mrow>  <mi> a </mi>  </mrow>  <mrow>  <mi> x </mi>  </mrow>  </msubsup>  <msqrt>  <mn> 2 </mn>  <mo> ( </mo>  <mi> v </mi>  <mo> &#x2212 </mo>  <mi> e </mi>  <mo> ) </mo>  </msqrt>  <mo> } </mo>  </mrow>  <mo> &#x223C </mo>  <mi> e x p </mi>  <mo> &#x2061 </mo>  <mrow>  <mo> { </mo>  <mo> &#x2212 </mo>  <mfrac>  <mn> 1 </mn>  <mi> &#x210F </mi>  </mfrac>  <msup>  <mi> x </mi>  <mrow>  <mfrac>  <mn> 5 </mn>  <mn> 2 </mn>  </mfrac>  </mrow>  </msup>  <mo> } </mo>  </mrow>  </math> <eos>
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <msup>  <mi> b </mi>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  <msub>  <mi> g </mi>  <mrow>  <mi> i </mi>  <mi> j </mi>  </mrow>  </msub>  <mo> ( </mo>  <mi> x </mi>  <mo> ) </mo>  <mo> = </mo>  <mrow>  <mn> 1 </mn>  <mi> o </mi>  <mi> v </mi>  <mi> e </mi>  <mi> r </mi>  <msup>  <mi> a </mi>  <mrow>  <mn> 2 </mn>  </mrow>  </msup>  </mrow>  <mo> , </mo>  <mi> d </mi>  <mi> e </mi>  <mi> l </mi>  <mi> t </mi>  <msub>  <mi> a </mi>  <mrow>  <mi> i </mi>  <mi> j </mi>  </mrow>  </msub>  <mo> , </mo>  <mi> p </mi>  <mi> h </mi>  <msup>  <mi> i </mi>  <mrow>  <mi> a </mi>  </mrow>  </msup>  <mo> ( </mo>  <mi> x </mi>  <mo> ) </mo>  <mo> = </mo>  <mi> p </mi>  <mi> h </mi>  <msup>  <mi> i </mi>  <mrow>  <mi> a </mi>  </mrow>  </msup>  <mo> , </mo>  <mi> q </mi>  <mi> u </mi>  <mi> a </mi>  <mi> d </mi>  <mo> ( </mo>  <mi> a </mi>  <mo> , </mo>  <mi> p </mi>  <mi> h </mi>  <msup>  <mi> i </mi>  <mrow>  <mi> a </mi>  </mrow>  </msup>  <mo> ! </mo>  <mo> : </mo>  <mrow>  <mi> r </mi>  <mi> m </mi>  <mi> c </mi>  <mi> o </mi>  <mi> n </mi>  <mi> s </mi>  <mi> t </mi>  <mo> . </mo>  </mrow>  <mo> ) </mo>  <msup>  <mi> n </mi>  <mrow>  <mi> &#x2032 </mi>  </mrow>  </msup>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mrow>  <mover>  <mi> e </mi>  <mo> &#x005E </mo>  </mover>  </mrow>  <mo> = </mo>  <mi> e </mi>  <mrow>  <mo> / </mo>  </mrow>  <mi> &#x03B5 </mi>  <mo> , </mo>  <msub>  <mrow>  <mover>  <mi> G </mi>  <mo> &#x005E </mo>  </mover>  </mrow>  <mrow>  <mn> 4 </mn>  </mrow>  </msub>  <mo> = </mo>  <msub>  <mi> G </mi>  <mrow>  <mn> 4 </mn>  </mrow>  </msub>  <mo> , </mo>  </math> <eos>"
"tensor([[[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]],

        [[1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         ...,
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.],
         [1., 1., 1.,  ..., 1., 1., 1.]]])","<sos> <math>  <mi> S </mi>  <mo> = </mo>  <msub>  <mo> &#x222B </mo>  <mrow>  <mrow>  <mi> M </mi>  </mrow>  </mrow>  </msub>  <mrow>  <mo> ( </mo>  <mrow>  <mfrac>  <mi> i </mi>  <mn> 2 </mn>  </mfrac>  </mrow>  <mrow>  <mo> [ </mo>  <mover>  <mi> &#x03C8 </mi>  <mo> &#x00AF </mo>  </mover>  <msup>  <mi> &#x03B3 </mi>  <mrow>  <mi> a </mi>  </mrow>  </msup>  <msub>  <mi> &#x2207 </mi>  <mrow>  <mi> a </mi>  </mrow>  </msub>  <mi> &#x03C8 </mi>  <mo> &#x2212 </mo>  <mover>  <mrow>  <mo> ( </mo>  <msub>  <mi> &#x2207 </mi>  <mrow>  <mi> a </mi>  </mrow>  </msub>  <mi> &#x03C8 </mi>  <mo> ) </mo>  </mrow>  <mo> &#x00AF </mo>  </mover>  <msup>  <mi> &#x03B3 </mi>  <mrow>  <mi> a </mi>  </mrow>  </msup>  <mi> &#x03C8 </mi>  <mo> ] </mo>  </mrow>  <mo> &#x2212 </mo>  <mi> m </mi>  <mover>  <mi> &#x03C8 </mi>  <mo> &#x00AF </mo>  </mover>  <mi> &#x03C8 </mi>  <mo> ) </mo>  </mrow>  <mo> , </mo>  </math> <eos>"
